Indicator,Correlation
per_allsp.ben_q1_tot,-1
per_sa_allsa.ben_q1_tot,-1
per_sa_allsa.cov_pop_tot,-1
SH.CON.1524.FE.ZS,-1
SH.CON.1524.MA.ZS,-1
SL.AGR.EMPL.MA.ZS,-1
SL.SRV.EMPL.FE.ZS,-1
SL.SRV.EMPL.MA.ZS,-1
SL.WAG.0714.FE.ZS,-0.991149924
SL.WAG.0714.ZS,-0.987128709
SL.WAG.0714.MA.ZS,-0.983435501
SE.ADT.1524.LT.MA.ZS,-0.940568553
SE.ADT.1524.LT.ZS,-0.922817239
SP.DYN.LE00.FE.IN,-0.919641031
SP.DYN.LE00.IN,-0.914415522
SL.TLF.0714.WK.FE.TM,-0.913013971
SP.DYN.LE00.MA.IN,-0.897568957
SL.TLF.0714.WK.TM,-0.894446785
SE.SEC.NENR.FE,-0.892613047
SE.ADT.LITR.MA.ZS,-0.890737369
SP.DYN.TO65.FE.ZS,-0.888153061
SE.SEC.NENR,-0.87364091
DT.NFL.UNEC.CD,-0.860194557
SL.TLF.0714.WK.MA.TM,-0.856838657
SE.SEC.NENR.MA,-0.843523334
SH.STA.ACSN,-0.840660034
SE.SEC.TCHR.FE.ZS,-0.840347403
SE.ADT.1524.LT.FE.ZS,-0.82726299
SH.STA.ACSN.RU,-0.822434235
SE.SEC.ENRR.FE,-0.815629052
SH.STA.ACSN.UR,-0.812528029
SP.DYN.TO65.MA.ZS,-0.805690617
SH.H2O.SAFE.RU.ZS,-0.804400624
SE.PRM.TCHR.FE.ZS,-0.799932212
SE.SEC.ENRR,-0.79974966
SH.H2O.SAFE.ZS,-0.796937565
SE.PRM.CMPT.ZS,-0.78229856
SL.TLF.0714.WK.MA.ZS,-0.780520618
SE.PRM.CMPT.FE.ZS,-0.779851354
SE.SEC.CMPT.LO.FE.ZS,-0.775179574
SP.DYN.CONU.ZS,-0.774046165
SE.SEC.ENRR.MA,-0.770712681
SE.TER.ENRR.FE,-0.764727318
SL.EMP.WORK.FE.ZS,-0.763102998
SP.POP.1564.TO.ZS,-0.759758171
SE.SEC.CMPT.LO.ZS,-0.750484697
GC.TAX.YPKG.ZS,-0.744790041
SE.TER.ENRR,-0.737354352
IT.NET.USER.P2,-0.737290752
SE.PRM.CMPT.MA.ZS,-0.737126797
GC.TAX.YPKG.RV.ZS,-0.734576165
SL.EMP.WORK.ZS,-0.731770285
SE.ADT.LITR.ZS,-0.727212656
IC.FRM.FREG.ZS,-0.724832039
IC.BUS.DFRN.XQ,-0.71451029
SE.PRM.TENR.FE,-0.714385081
SE.SEC.CMPT.LO.MA.ZS,-0.705306148
SL.TLF.0714.SW.MA.TM,-0.694244265
SE.TER.ENRR.MA,-0.685462092
GC.XPN.TRFT.ZS,-0.68411034
SE.PRM.NENR.FE,-0.678112998
SE.TER.TCHR.FE.ZS,-0.675690816
SL.EMP.WORK.MA.ZS,-0.674909125
SL.TLF.0714.SW.FE.TM,-0.667394352
SE.PRM.TENR,-0.662964389
SE.PRE.ENRR.FE,-0.662511477
SL.TLF.0714.SW.TM,-0.662008507
SE.PRE.ENRR,-0.660742636
SL.TLF.0714.WK.ZS,-0.660173948
SE.PRE.ENRR.MA,-0.658414033
SE.ENR.SECO.FM.ZS,-0.656953528
SE.SEC.ENRL.GC.FE.ZS,-0.651039889
FB.CBK.DPTR.P3,-0.65057583
IT.NET.BBND.P2,-0.638050649
FB.ATM.TOTL.P5,-0.628740178
IT.MLT.MAIN.P2,-0.628025945
SH.IMM.MEAS,-0.627877962
SE.PRM.NENR,-0.627864119
TM.TAX.TCOM.BC.ZS,-0.620228892
SP.POP.65UP.TO.ZS,-0.618079454
SH.TBS.DTEC.ZS,-0.617838963
TM.TAX.MRCH.BC.ZS,-0.600676435
SH.H2O.SAFE.UR.ZS,-0.600328876
FB.CBK.BRWR.P3,-0.599675595
SH.VAC.TTNS.ZS,-0.597366612
SH.STA.BRTC.ZS,-0.596735456
TM.VAL.MRCH.HI.ZS,-0.594567633
TM.TAX.MANF.BC.ZS,-0.589908114
SE.SEC.ENRL.FE.ZS,-0.589883055
IC.CRD.INFO.XQ,-0.587985511
SP.POP.DPND.OL,-0.581183967
SH.MED.PHYS.ZS,-0.579965486
NY.GNP.PCAP.PP.KD,-0.578212082
SE.ENR.PRSC.FM.ZS,-0.576751204
SE.PRM.TENR.MA,-0.564500674
SP.URB.TOTL.IN.ZS,-0.563794977
NV.SRV.TETC.ZS,-0.562494847
FD.AST.PRVT.GD.ZS,-0.55577754
IQ.SCI.MTHD,-0.543960206
FS.AST.PRVT.GD.ZS,-0.541837791
SH.IMM.IDPT,-0.536833711
IT.CEL.SETS.P2,-0.536815554
NY.GNP.PCAP.PP.CD,-0.536563112
IC.FRM.BKWC.ZS,-0.536053323
IQ.CPA.PUBS.XQ,-0.533195938
FS.AST.DOMO.GD.ZS,-0.531758332
SH.XPD.PCAP.PP.KD,-0.527660761
SE.PRM.NENR.MA,-0.527201803
IQ.CPA.GNDR.XQ,-0.525373648
NY.GDP.PCAP.PP.KD,-0.523432536
NY.GDP.PCAP.PP.CD,-0.523301313
IQ.CPA.PROP.XQ,-0.522949896
SE.ENR.PRIM.FM.ZS,-0.518492032
NE.CON.PRVT.PC.KD,-0.517997787
IQ.WEF.CUST.XQ,-0.517901465
NY.ADJ.NNTY.PC.KD,-0.510984081
NY.ADJ.NNTY.PC.CD,-0.505664631
FS.AST.DOMS.GD.ZS,-0.502034271
NY.GNP.PCAP.KD,-0.501744641
SH.STA.OWGH.MA.ZS,-0.499595528
GC.REV.SOCL.ZS,-0.497337065
TM.TAX.TCOM.SR.ZS,-0.495671934
SE.PRM.PRSL.FE.ZS,-0.493874403
IQ.CPA.SOCI.XQ,-0.488425251
NY.GNP.PCAP.CD,-0.485274536
SH.STA.OWGH.FE.ZS,-0.482988634
NY.ADJ.SVNG.GN.ZS,-0.482968891
IE.PPI.WATR.CD,-0.481735058
NY.GDP.PCAP.KD,-0.481097254
NY.GDP.PCAP.CD,-0.477264715
IQ.CPA.REVN.XQ,-0.476689645
DT.INT.DECT.GN.ZS,-0.474999338
IQ.CPA.HRES.XQ,-0.474369645
IC.FRM.BNKS.ZS,-0.473441176
SE.XPD.SECO.ZS,-0.471891038
SE.SEC.PROG.MA.ZS,-0.468802724
FM.LBL.BMNY.GD.ZS,-0.467849255
GC.DOD.TOTL.GD.ZS,-0.45966867
IC.CRD.PRVT.ZS,-0.455824589
TM.TAX.MRCH.SR.ZS,-0.449774241
SH.MMR.RISK,-0.448308446
FM.LBL.MQMY.GD.ZS,-0.447795768
SH.XPD.PUBL,-0.446022301
NY.ADJ.SVNX.GN.ZS,-0.445895571
TX.VAL.MRCH.HI.ZS,-0.445376086
IQ.SCI.OVRL,-0.445101251
TX.VAL.MANF.ZS.UN,-0.442108936
IQ.WEF.PORT.XQ,-0.440803368
DT.INT.DECT.EX.ZS,-0.437355065
SH.XPD.PCAP,-0.434885779
PA.NUS.PPPC.RF,-0.430224292
IQ.CPA.IRAI.XQ,-0.419108886
IQ.CPA.TRAN.XQ,-0.41829778
FS.LBL.QLIQ.GD.ZS,-0.415574607
SH.STA.OWGH.ZS,-0.414631806
FB.CBK.BRCH.P5,-0.41380459
SE.ENR.TERT.FM.ZS,-0.412776179
IQ.CPA.PADM.XQ,-0.410138997
SE.ADT.LITR.FE.ZS,-0.405000463
EA.PRD.AGRI.KD,-0.39968888
SH.MLR.NETS.ZS,-0.390371093
SL.FAM.0714.MA.ZS,-0.388936893
SE.PRM.PRSL.MA.ZS,-0.387174635
IT.NET.SECR.P6,-0.385082526
IQ.CPA.PRES.XQ,-0.384861701
IQ.SCI.SRCE,-0.383879455
SE.SEC.PROG.ZS,-0.38372459
IQ.CPA.STRC.XQ,-0.383009913
SP.HOU.FEMA.ZS,-0.382593467
SL.FAM.0714.FE.ZS,-0.378787896
IQ.CPA.BREG.XQ,-0.374994871
DT.TDS.DECT.EX.ZS,-0.374348892
SH.XPD.PUBL.ZS,-0.372814958
TM.VAL.ICTG.ZS.UN,-0.370010537
EG.USE.PCAP.KG.OE,-0.369612973
SE.PRM.PRS5.FE.ZS,-0.369465233
SL.FAM.0714.ZS,-0.368296431
IQ.CPA.FINQ.XQ,-0.36004717
