Country Code,Country Name,Country,2013
ADO,Andorra,Andorra,3
AFG,Afghanistan,Afghanistan,97.3
AGO,Angola,Angola,167.4
ALB,Albania,Albania,14.9
ARE,United Arab Emirates,United Arab Emirates,8.2
ARG,Argentina,Argentina,13.3
ARM,Armenia,Armenia,15.6
ATG,Antigua and Barbuda,Antigua and Barbuda,9.3
AUS,Australia,Australia,4
AUT,Austria,Austria,3.9
AZE,Azerbaijan,Azerbaijan,34.2
BDI,Burundi,Burundi,82.9
BEL,Belgium,Belgium,4.4
BEN,Benin,Benin,85.3
BFA,Burkina Faso,Burkina Faso,97.6
BGD,Bangladesh,Bangladesh,41.1
BGR,Bulgaria,Bulgaria,11.6
BHR,Bahrain,Bahrain,6.1
BHS,"Bahamas, The",Bahamas,12.9
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,6.6
BLR,Belarus,Belarus,4.9
BLZ,Belize,Belize,16.7
BOL,Bolivia,Bolivia,39.1
BRA,Brazil,Brazil,13.7
BRB,Barbados,Barbados,14.4
BRN,Brunei Darussalam,Brunei Darussalam,9.9
BTN,Bhutan,Bhutan,36.2
BWA,Botswana,Botswana,46.6
CAF,Central African Republic,Central African Republic,139.2
CAN,Canada,Canada,5.2
CHE,Switzerland,Switzerland,4.2
CHL,Chile,Chile,8.2
CHN,China,China,12.7
CIV,Cote d'Ivoire,Cote d'Ivoire,100
CMR,Cameroon,Cameroon,94.5
COG,"Congo, Rep.",Congo,49.1
COL,Colombia,Colombia,16.9
COM,Comoros,Comoros,77.9
CRI,Costa Rica,Costa Rica,9.6
CUB,Cuba,Cuba,6.2
CYP,Cyprus,Cyprus,3.6
CZE,Czech Republic,Czech Republic,3.6
DEU,Germany,Germany,3.9
DJI,Djibouti,Djibouti,69.6
DMA,Dominica,Dominica,11.4
DNK,Denmark,Denmark,3.5
DOM,Dominican Republic,Dominican Republic,28.1
DZA,Algeria,Algeria,25.2
ECU,Ecuador,Ecuador,22.5
EGY,"Egypt, Arab Rep.",Egypt,21.8
ERI,Eritrea,Eritrea,49.9
ESP,Spain,Spain,4.2
EST,Estonia,Estonia,3.4
ETH,Ethiopia,Ethiopia,64.4
FIN,Finland,Finland,2.6
FJI,Fiji,Fiji,23.6
FRA,France,France,4.2
FSM,"Micronesia, Fed. Sts.","Micronesia, Federated States of",36.4
GAB,Gabon,Gabon,56.1
GBR,United Kingdom,United Kingdom,4.6
GEO,Georgia,Georgia,13.1
GHA,Ghana,Ghana,78.4
GIN,Guinea,Guinea,100.7
GMB,"Gambia, The",Gambia,73.8
GNB,Guinea-Bissau,Guinea-Bissau,123.9
GNQ,Equatorial Guinea,Equatorial Guinea,95.8
GRC,Greece,Greece,4.4
GRD,Grenada,Grenada,11.8
GTM,Guatemala,Guatemala,31
GUY,Guyana,Guyana,36.6
HND,Honduras,Honduras,22.2
HRV,Croatia,Croatia,4.5
HTI,Haiti,Haiti,72.8
HUN,Hungary,Hungary,6.1
IDN,Indonesia,Indonesia,29.3
IND,India,India,52.7
IRL,Ireland,Ireland,3.8
IRN,"Iran, Islamic Rep.",Iran (Islamic Republic of),16.8
IRQ,Iraq,Iraq,34
ISL,Iceland,Iceland,2.1
ISR,Israel,Israel,4
ITA,Italy,Italy,3.6
JAM,Jamaica,Jamaica,16.6
JOR,Jordan,Jordan,18.7
JPN,Japan,Japan,2.9
KAZ,Kazakhstan,Kazakhstan,16.3
KEN,Kenya,Kenya,70.7
KGZ,Kyrgyz Republic,Kyrgyzstan,24.2
KHM,Cambodia,Cambodia,37.9
KIR,Kiribati,Kiribati,58.2
KOR,"Korea, Rep.","Korea, Republic of",3.7
KWT,Kuwait,Kuwait,9.5
LAO,Lao PDR,Lao People's Democratic Republic,71.4
LBN,Lebanon,Lebanon,9.1
LBR,Liberia,Liberia,71.1
LBY,Libya,Libyan Arab Jamahiriya,14.5
LIE,Liechtenstein,Liechtenstein,
LKA,Sri Lanka,Sri Lanka,9.6
LSO,Lesotho,Lesotho,98
LTU,Lithuania,Lithuania,4.9
LUX,Luxembourg,Luxembourg,2
LVA,Latvia,Latvia,8.4
MAR,Morocco,Morocco,30.4
MCO,Monaco,Monaco,3.7
MDA,Moldova,Republic of Moldova,15.4
MDG,Madagascar,Madagascar,56
MDV,Maldives,Maldives,9.9
MEX,Mexico,Mexico,14.5
MHL,Marshall Islands,Marshall Islands,37.5
MLI,Mali,Mali,122.7
MLT,Malta,Malta,6.1
MMR,Myanmar,Myanmar,50.5
MNE,Montenegro,Montenegro,5.3
MNG,Mongolia,Mongolia,31.8
MOZ,Mozambique,Mozambique,87.2
MRT,Mauritania,Mauritania,90.1
MUS,Mauritius,Mauritius,14.3
MWI,Malawi,Malawi,67.9
MYS,Malaysia,Malaysia,8.5
NAM,Namibia,Namibia,49.8
NER,Niger,Niger,104.2
NGA,Nigeria,Nigeria,117.4
NIC,Nicaragua,Nicaragua,23.5
NLD,Netherlands,Netherlands,4
NOR,Norway,Norway,2.8
NPL,Nepal,Nepal,39.7
NZL,New Zealand,New Zealand,6.3
OMN,Oman,Oman,11.4
PAK,Pakistan,Pakistan,85.5
PAN,Panama,Panama,17.9
PER,Peru,Peru,16.7
PHL,Philippines,Philippines,29.9
PLW,Palau,Palau,17.5
PNG,Papua New Guinea,Papua New Guinea,61.4
POL,Poland,Poland,5.2
PRK,"Korea, Dem. Rep.","Korea, Democratic People's Republic of",27.4
PRT,Portugal,Portugal,3.8
PRY,Paraguay,Paraguay,21.9
QAT,Qatar,Qatar,8.2
ROM,Romania,Romania,12
RUS,Russian Federation,Russian Federation,10.1
RWA,Rwanda,Rwanda,52
SAU,Saudi Arabia,Saudi Arabia,15.5
SDN,Sudan,Sudan,76.6
SEN,Senegal,Senegal,55.3
SGP,Singapore,Singapore,2.8
SLB,Solomon Islands,Solomon Islands,30.1
SLE,Sierra Leone,Sierra Leone,160.6
SLV,El Salvador,El Salvador,15.7
SMR,San Marino,San Marino,3.1
SOM,Somalia,Somalia,145.6
SRB,Serbia,Serbia,6.6
SSD,South Sudan,South Sudan,99.2
STP,Sao Tome and Principe,Sao Tome and Principe,51
SUR,Suriname,Suriname,22.8
SVK,Slovak Republic,Slovakia,7.2
SVN,Slovenia,Slovenia,2.9
SWE,Sweden,Sweden,3
SWZ,Swaziland,Swaziland,80
SYC,Seychelles,Seychelles,14.2
SYR,Syrian Arab Republic,Syrian Arab Republic,14.6
TCD,Chad,Chad,147.5
TGO,Togo,Togo,84.7
THA,Thailand,Thailand,13.1
TJK,Tajikistan,Tajikistan,47.7
TKM,Turkmenistan,Turkmenistan,55.2
TMP,Timor-Leste,Timor-Leste,54.6
TON,Tonga,Tonga,12.1
TTO,Trinidad and Tobago,Trinidad and Tobago,21.3
TUN,Tunisia,Tunisia,15.2
TUR,Turkey,Turkey,19.2
TUV,Tuvalu,Tuvalu,29.2
TZA,Tanzania,United Republic of Tanzania,51.8
UGA,Uganda,Uganda,66.1
UKR,Ukraine,Ukraine,10
URY,Uruguay,Uruguay,11.1
USA,United States,United States,6.9
UZB,Uzbekistan,Uzbekistan,42.5
VEN,"Venezuela, RB",State of Palestine,21.8
VNM,Vietnam,Venezuela,14.9
VUT,Vanuatu,Vanuatu,16.9
WBG,West Bank and Gaza,Viet Nam,23.8
WSM,Samoa,Samoa,18.1
YEM,"Yemen, Rep.",Yemen,51.3
ZAF,South Africa,South Africa,43.9
ZAR,"Congo, Dem. Rep.",Democratic Republic of the Congo,118.5
ZMB,Zambia,Zambia,87.4
ZWE,Zimbabwe,Zimbabwe,88.5
